#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),
,ibus,ibus input method,
,ibus-m17n,ibus m17n keyboard,
,m17n-db,m17 database,
,bdf-unifont,bangla font support,
,ttf-roboto,google roboto font,
,ttf-droid,droid font,
,noto-fonts,google noto fonts,
,ttf-dejavu,,
,ttf-hack,,
,aria2,,
,ttf-font-awesome,,
,plocate,,
,stardict,,
,sdcv,,
,feh,,
,android-tools,,
,gnote,,
,tmux,,
,wmname,,
A,lf-bin,,
A,menu-calc,,
,bc,,
,pdftk,,
,clipmenu,,
,calcurse,,
,lxappearance,,
A,sc-im,,
,abook,,
,youtube-dl,,
,youtube-viewer,,
,zathura,,
,zathura-pdf-mupdf,,
,isync,,
,neomutt,,
,pass,,
,openssh,,
,msmtp,,
A,urlview-git,,
A,mutt-wizard-git,,
